deltaT[s], maxEuc_dU[pixels], max_dU[pixels], max_dV[pixels]
1,60,-56,23
0.95,104,104,0
0.9,60,-56,23
0.85,60,-56,23
0.8,60,-56,23
0.75,60,-56,23
0.7,60,-56,23
0.65,60,-56,23
0.6,60,-56,23
0.55,60,-56,23
0.5,125,-115,49
0.45,154,154,-3
0.4,179,-167,67
0.35,99,99,1
0.3,177,-164,69
0.25,60,-56,23
0.2,60,-56,23
0.15,479,-449,167
0.1,537,537,-7
0.05,579,524,248
