time[s], x, y, z, R, P, Y
75, -0.120425, -0.360676, 1.69175, 2.91077, 0.0136923, 1.57744, 
76, -0.122573, -0.362701, 1.69156, 2.90702, 0.0128337, 1.57757, 
77, -0.124165, -0.361522, 1.6916, 2.90372, 0.0135667, 1.57756, 
78, -0.126323, -0.363529, 1.6914, 2.89997, 0.0127049, 1.5777, 
79, -0.128572, -0.36452, 1.69146, 2.89663, 0.0164164, 1.57839, 
80, -0.130052, -0.364005, 1.69142, 2.89346, 0.0156549, 1.57829, 
81, -0.132405, -0.366556, 1.69114, 2.88924, 0.0133223, 1.57837, 
82, -0.134333, -0.366663, 1.69113, 2.88598, 0.0155709, 1.57862, 
83, -0.136218, -0.368227, 1.691, 2.88239, 0.0132867, 1.57884, 
84, -0.138363, -0.368985, 1.69091, 2.87864, 0.0140613, 1.57904, 
85, -0.14065, -0.37039, 1.69084, 2.87539, 0.0178438, 1.57958, 
86, -0.142402, -0.371253, 1.69068, 2.87131, 0.0125559, 1.57946, 
87, -0.144693, -0.372639, 1.69061, 2.86805, 0.0163313, 1.58002, 
88, -0.147209, -0.374681, 1.69044, 2.86429, 0.0186274, 1.58051, 
89, -0.148155, -0.372237, 1.69051, 2.86131, 0.0164572, 1.58005, 
90, -0.151126, -0.376366, 1.69022, 2.85709, 0.0172338, 1.58089, 
91, -0.152881, -0.375832, 1.69025, 2.85399, 0.0195747, 1.58108, 
92, -0.154255, -0.375425, 1.69022, 2.85057, 0.0158829, 1.58096, 
93, -0.157171, -0.378734, 1.68997, 2.84677, 0.0197163, 1.58179, 
94, -0.158919, -0.378174, 1.68999, 2.84368, 0.0220482, 1.58197, 
95, -0.160665, -0.379036, 1.68989, 2.84025, 0.0198443, 1.58215, 
96, -0.162729, -0.379859, 1.68978, 2.83622, 0.0176719, 1.58234, 
97, -0.164851, -0.380562, 1.68974, 2.83309, 0.0215342, 1.58284, 
98, -0.167762, -0.384352, 1.68927, 2.82844, 0.0192937, 1.58322, 
99, -0.169413, -0.383354, 1.68949, 2.82591, 0.0246516, 1.58385, 
100, -0.171031, -0.383874, 1.68925, 2.82214, 0.019495, 1.58349, 
101, -0.173781, -0.386447, 1.68902, 2.81847, 0.0234114, 1.5843, 
102, -0.172329, -0.384358, 1.68917, 2.81862, 0.012158, 1.58347, 
103, -0.172179, -0.385873, 1.68897, 2.81801, 0.00378692, 1.58321, 
104, -0.171878, -0.386688, 1.68875, 2.81697, -0.00756864, 1.58259, 
105, -0.171351, -0.387248, 1.68878, 2.81651, -0.0174264, 1.58251, 
106, -0.170824, -0.387462, 1.68864, 2.81596, -0.0272787, 1.58193, 
107, -0.170206, -0.387302, 1.6887, 2.81594, -0.0340692, 1.58177, 
108, -0.169773, -0.388233, 1.68852, 2.81497, -0.0469779, 1.58127, 
109, -0.168875, -0.387521, 1.68833, 2.81459, -0.0582499, 1.5802, 
110, -0.16835, -0.388084, 1.68833, 2.81415, -0.0681009, 1.58012, 
111, -0.168696, -0.390224, 1.68812, 2.81342, -0.0734452, 1.58023, 
112, -0.167402, -0.388569, 1.68815, 2.8132, -0.0861635, 1.57934, 
113, -0.167, -0.389845, 1.68783, 2.81238, -0.0990483, 1.57866, 
114, -0.166943, -0.391037, 1.68783, 2.81181, -0.105889, 1.57895, 
115, -0.165547, -0.388687, 1.68788, 2.812, -0.115577, 1.57797, 
116, -0.165624, -0.390594, 1.68757, 2.81104, -0.125447, 1.57767, 
117, -0.164721, -0.390213, 1.6875, 2.8108, -0.136723, 1.57708, 
118, -0.164808, -0.392116, 1.68718, 2.80985, -0.146595, 1.57678, 
119, -0.164113, -0.391754, 1.68721, 2.80993, -0.153378, 1.57655, 
120, -0.163268, -0.390735, 1.68723, 2.80957, -0.163109, 1.57605, 
121, -0.162644, -0.391403, 1.68695, 2.80927, -0.174474, 1.57535, 
122, -0.162644, -0.391403, 1.68695, 2.80927, -0.174474, 1.57535, 
123, -0.162473, -0.394044, 1.6865, 2.80774, -0.193539, 1.57486, 
124, -0.160975, -0.391479, 1.68652, 2.80803, -0.2032, 1.57382, 
125, -0.160929, -0.393457, 1.68622, 2.8072, -0.214625, 1.5736, 
126, -0.160929, -0.393457, 1.68622, 2.8072, -0.214625, 1.5736, 
127, -0.159575, -0.392877, 1.68603, 2.80687, -0.231909, 1.57265, 
128, -0.159412, -0.394491, 1.6856, 2.80576, -0.246285, 1.57196, 
129, -0.159277, -0.39543, 1.68559, 2.80531, -0.253096, 1.5722, 
130, -0.157868, -0.393544, 1.68554, 2.80523, -0.265801, 1.57125, 
131, -0.157807, -0.39447, 1.68527, 2.80481, -0.272576, 1.57082, 
132, -0.15682, -0.393848, 1.68514, 2.80471, -0.283817, 1.57014, 
133, -0.156871, -0.395453, 1.68482, 2.80392, -0.293656, 1.56981, 
134, -0.15634, -0.395426, 1.68474, 2.80366, -0.301901, 1.56954, 
135, -0.155943, -0.396429, 1.68435, 2.80306, -0.314752, 1.56879, 
136, -0.154979, -0.395151, 1.68434, 2.80283, -0.324474, 1.56824, 
137, -0.15476, -0.396125, 1.68407, 2.80253, -0.332797, 1.56784, 
138, -0.154338, -0.396766, 1.68393, 2.80192, -0.344098, 1.56766, 
139, -0.154127, -0.397739, 1.68366, 2.80163, -0.352425, 1.56725, 
140, -0.153068, -0.396473, 1.68338, 2.80155, -0.363655, 1.56606, 
141, -0.15236, -0.396496, 1.68329, 2.80142, -0.373439, 1.56579, 
142, -0.152108, -0.39749, 1.68298, 2.80034, -0.38782, 1.5653, 
143, -0.15236, -0.399038, 1.68277, 2.79988, -0.393122, 1.5653, 
144, -0.151412, -0.398414, 1.68244, 2.79947, -0.4074, 1.5642, 
145, -0.150298, -0.397155, 1.68242, 2.80018, -0.412649, 1.56371, 
146, -0.150207, -0.398098, 1.68224, 2.7994, -0.422504, 1.56356, 
147, -0.149723, -0.398742, 1.68182, 2.79899, -0.43532, 1.5627, 
148, -0.149641, -0.399685, 1.68163, 2.79822, -0.445179, 1.56255, 
149, -0.148755, -0.399053, 1.6813, 2.79863, -0.453429, 1.56146, 
150, -0.148678, -0.399999, 1.68111, 2.79787, -0.463287, 1.56131, 
151, -0.147439, -0.398748, 1.68079, 2.79797, -0.476047, 1.56007, 
152, -0.147049, -0.399042, 1.68064, 2.7977, -0.484388, 1.5598, 
153, -0.146661, -0.399338, 1.68048, 2.79742, -0.492729, 1.55952, 
154, -0.146069, -0.399661, 1.67993, 2.79707, -0.507097, 1.55821, 
155, -0.145686, -0.39996, 1.67977, 2.79681, -0.515438, 1.55792, 
156, -0.145305, -0.400262, 1.67961, 2.79656, -0.523779, 1.55764, 
157, -0.145586, -0.402133, 1.67923, 2.79583, -0.533723, 1.5573, 
158, -0.144364, -0.400897, 1.67887, 2.79599, -0.546483, 1.556, 
159, -0.144104, -0.401835, 1.67865, 2.79543, -0.557886, 1.55581, 
160, -0.142992, -0.400506, 1.67842, 2.79586, -0.566154, 1.55482, 
161, -0.143296, -0.402381, 1.67804, 2.79516, -0.576095, 1.55447, 
162, -0.142103, -0.400765, 1.67794, 2.79543, -0.584416, 1.55377, 
163, -0.142103, -0.400765, 1.67794, 2.79543, -0.584416, 1.55377, 
164, -0.141241, -0.401421, 1.67729, 2.79461, -0.607945, 1.55239, 
165, -0.141229, -0.402624, 1.67693, 2.79443, -0.616363, 1.55185, 
166, -0.140828, -0.403169, 1.67658, 2.79395, -0.629324, 1.55119, 
167, -0.140317, -0.403097, 1.67628, 2.79379, -0.639228, 1.55042, 
168, -0.139808, -0.403029, 1.67597, 2.79364, -0.64913, 1.54964, 
169, -0.139069, -0.402889, 1.67563, 2.79369, -0.660567, 1.54877, 
170, -0.138993, -0.403375, 1.67546, 2.7933, -0.667467, 1.5485, 
171, -0.13826, -0.403239, 1.67511, 2.79336, -0.678903, 1.54761, 
172, -0.137411, -0.402494, 1.6748, 2.79373, -0.687292, 1.54661, 
173, -0.137736, -0.404573, 1.67426, 2.79291, -0.701881, 1.54583, 
174, -0.137312, -0.404369, 1.67409, 2.79303, -0.707277, 1.54535, 
175, -0.136065, -0.402964, 1.67377, 2.79314, -0.720171, 1.54419, 
176, -0.136052, -0.404346, 1.67324, 2.79286, -0.733218, 1.54317, 
177, -0.135632, -0.404442, 1.67315, 2.79252, -0.741713, 1.5431, 
178, -0.135632, -0.404442, 1.67315, 2.79252, -0.741713, 1.5431, 
179, -0.134526, -0.404586, 1.67228, 2.7931, -0.762256, 1.54078, 
180, -0.134295, -0.404624, 1.67199, 2.79283, -0.770718, 1.54, 
181, -0.13346, -0.404183, 1.67174, 2.79283, -0.782198, 1.53932, 
182, -0.132968, -0.404514, 1.67133, 2.79294, -0.793758, 1.53833, 
183, -0.132768, -0.404775, 1.67113, 2.79301, -0.799274, 1.53787, 
184, -0.131882, -0.404167, 1.67062, 2.79335, -0.812248, 1.53629, 
185, -0.1322, -0.405772, 1.67038, 2.79268, -0.82234, 1.53611, 
186, -0.131595, -0.405495, 1.67001, 2.79312, -0.830853, 1.53498, 
187, -0.130562, -0.404537, 1.66962, 2.79329, -0.843871, 1.53371, 
188, -0.130692, -0.405731, 1.66912, 2.79338, -0.853974, 1.53248, 
189, -0.129664, -0.404778, 1.66872, 2.79361, -0.866992, 1.53116, 
190, -0.129648, -0.405222, 1.66842, 2.79335, -0.875579, 1.53036, 
191, -0.1292, -0.405757, 1.66807, 2.79398, -0.884182, 1.52948, 
192, -0.128777, -0.405652, 1.6676, 2.79413, -0.895755, 1.52797, 
193, -0.127758, -0.404891, 1.66727, 2.79478, -0.905835, 1.52686, 
194, -0.128146, -0.40625, 1.66707, 2.79437, -0.912989, 1.52658, 
195, -0.127061, -0.405455, 1.66634, 2.79533, -0.929047, 1.52403, 
196, -0.126866, -0.40551, 1.66617, 2.79491, -0.937689, 1.52356, 
197, -0.126595, -0.406185, 1.66572, 2.79533, -0.949367, 1.52223, 
198, -0.126189, -0.406253, 1.66531, 2.79597, -0.957992, 1.52085, 
199, -0.12519, -0.405019, 1.66492, 2.79657, -0.968091, 1.51928, 
200, -0.124711, -0.405278, 1.66459, 2.79684, -0.979817, 1.51827, 
201, -0.124458, -0.405454, 1.6641, 2.79719, -0.991509, 1.51652, 
202, -0.122035, -0.404044, 1.66497, 2.79819, -0.986864, 1.52028, 
203, -0.119617, -0.402651, 1.66546, 2.79946, -0.988163, 1.52263, 
204, -0.117369, -0.401872, 1.66628, 2.80028, -0.986506, 1.52641, 
205, -0.114769, -0.399703, 1.66695, 2.80101, -0.986345, 1.52941, 
206, -0.113107, -0.399685, 1.66775, 2.80175, -0.983195, 1.53305, 
207, -0.110856, -0.398897, 1.66819, 2.8027, -0.987499, 1.53554, 
208, -0.108859, -0.398191, 1.66909, 2.80325, -0.984315, 1.53955, 
209, -0.106474, -0.396758, 1.66956, 2.80444, -0.985618, 1.54198, 
210, -0.104486, -0.396037, 1.67046, 2.80503, -0.982432, 1.54596, 
211, -0.102487, -0.395337, 1.67098, 2.8056, -0.98521, 1.54877, 
212, -0.099754, -0.393316, 1.6716, 2.80706, -0.983567, 1.55175, 
213, -0.0980989, -0.393472, 1.67225, 2.80753, -0.984901, 1.55508, 
214, -0.0957463, -0.39218, 1.67293, 2.80839, -0.984716, 1.55843, 
215, -0.0929318, -0.389364, 1.67348, 2.80966, -0.982999, 1.56112, 
216, -0.0905938, -0.388059, 1.67415, 2.8105, -0.98281, 1.5645, 
217, -0.0889436, -0.388195, 1.67479, 2.81094, -0.98414, 1.56786, 
218, -0.0864783, -0.386208, 1.67547, 2.81223, -0.980977, 1.57098, 
219, -0.0848307, -0.386332, 1.67612, 2.81266, -0.982306, 1.57436, 
220, -0.0825116, -0.384999, 1.67677, 2.81349, -0.982119, 1.57774, 
221, -0.0800699, -0.382988, 1.67743, 2.81482, -0.978959, 1.58084, 
222, -0.0800699, -0.382988, 1.67743, 2.81482, -0.978959, 1.58084, 
223, -0.0762012, -0.382235, 1.67857, 2.81578, -0.983462, 1.58742, 
224, -0.0737792, -0.380204, 1.67922, 2.81715, -0.980305, 1.59048, 
225, -0.0726134, -0.381797, 1.67978, 2.81724, -0.984604, 1.59384, 
226, -0.0695577, -0.378292, 1.68039, 2.81909, -0.979983, 1.59682, 
227, -0.0677582, -0.377871, 1.6809, 2.81929, -0.982772, 1.59997, 
228, -0.0677582, -0.377871, 1.6809, 2.81929, -0.982772, 1.59997, 
229, -0.0638138, -0.376316, 1.68236, 2.82148, -0.978409, 1.60686, 
230, -0.0613935, -0.374406, 1.68284, 2.82208, -0.979681, 1.61, 
231, -0.059758, -0.374654, 1.68357, 2.82334, -0.978, 1.61331, 
232, -0.0573506, -0.37273, 1.68404, 2.82392, -0.979272, 1.61647, 
233, -0.0557162, -0.372966, 1.68476, 2.8252, -0.977594, 1.61977, 
234, -0.0533218, -0.371028, 1.68522, 2.82575, -0.978865, 1.62294, 
235, -0.0516887, -0.371252, 1.68595, 2.82706, -0.97719, 1.62623, 
236, -0.0493073, -0.3693, 1.6864, 2.82759, -0.978461, 1.62942, 
237, -0.0476755, -0.369512, 1.68712, 2.82892, -0.97679, 1.63269, 
238, -0.0453073, -0.367546, 1.68756, 2.82943, -0.97806, 1.63589, 
239, -0.0436767, -0.367747, 1.68829, 2.83078, -0.976392, 1.63915, 
240, -0.0418812, -0.36734, 1.68902, 2.83074, -0.97767, 1.64315, 
241, -0.0395294, -0.365383, 1.68929, 2.83232, -0.977462, 1.64541, 
242, -0.0381906, -0.3663, 1.69012, 2.8329, -0.977236, 1.64919, 
243, -0.0356603, -0.363834, 1.69046, 2.83414, -0.977105, 1.65192, 
244, -0.0343182, -0.364741, 1.69129, 2.83473, -0.97688, 1.65569, 
245, -0.0318038, -0.36226, 1.69162, 2.83595, -0.976751, 1.65842, 
246, -0.030099, -0.362542, 1.6922, 2.8361, -0.979527, 1.66211, 
247, -0.0282265, -0.36138, 1.69288, 2.83695, -0.977836, 1.66549, 
248, -0.0264912, -0.361762, 1.69354, 2.83826, -0.977754, 1.66881, 
249, -0.0242768, -0.359973, 1.69396, 2.83863, -0.979043, 1.67213, 
250, -0.022489, -0.359513, 1.69451, 2.83971, -0.978846, 1.67516, 
251, -0.0212879, -0.360492, 1.69553, 2.84171, -0.974219, 1.67838, 
252, -0.0187438, -0.35805, 1.69567, 2.8415, -0.978465, 1.68171, 
253, -0.0171915, -0.358399, 1.69642, 2.84298, -0.976849, 1.68489, 
254, -0.0152292, -0.357393, 1.69703, 2.8437, -0.976725, 1.68839, 
