time[s], x, y, z, R, P, Y
77, -0.05945, -0.373372, 1.68318, 2.82297, -0.979646, 1.61409, 
78, -0.0536624, -0.371573, 1.68501, 2.82589, -0.978548, 1.62382, 
79, -0.0478952, -0.369704, 1.68684, 2.82883, -0.977464, 1.63354, 
80, -0.0419964, -0.367166, 1.68864, 2.83036, -0.979301, 1.64403, 
81, -0.0361743, -0.364462, 1.69039, 2.83423, -0.975327, 1.65308, 
82, -0.030406, -0.362503, 1.69204, 2.83588, -0.978654, 1.66332, 
83, -0.0242642, -0.359109, 1.69371, 2.83944, -0.976202, 1.67282, 
84, -0.0186827, -0.357136, 1.69547, 2.84243, -0.975215, 1.68253, 
85, -0.0131227, -0.355095, 1.69722, 2.84543, -0.974243, 1.69223, 
86, -0.00758488, -0.352988, 1.69896, 2.84845, -0.973287, 1.70191, 
87, -0.00175242, -0.350185, 1.7004, 2.85073, -0.975256, 1.71175, 
88, 0.00272583, -0.351661, 1.70262, 2.85455, -0.972861, 1.72136, 
89, 0.0085114, -0.348721, 1.70404, 2.85676, -0.974857, 1.73121, 
90, 0.0138895, -0.347235, 1.70579, 2.8585, -0.976842, 1.74187, 
91, 0.0195093, -0.344217, 1.7073, 2.86263, -0.974612, 1.75069, 
92, 0.0239737, -0.346328, 1.7096, 2.86517, -0.975248, 1.76133, 
93, 0.0295441, -0.343171, 1.71108, 2.86937, -0.973065, 1.77004, 
94, 0.034629, -0.343062, 1.71289, 2.86968, -0.9781, 1.78168, 
95, 0.0396522, -0.342087, 1.71473, 2.87383, -0.976005, 1.79073, 
96, 0.0449366, -0.340366, 1.71626, 2.87677, -0.976846, 1.80029, 
97, 0.0500363, -0.339297, 1.71794, 2.87852, -0.979038, 1.81076, 
98, 0.0549575, -0.339623, 1.7199, 2.88338, -0.977123, 1.81964, 
99, 0.0596256, -0.340737, 1.72199, 2.88488, -0.979418, 1.83068, 
100, 0.064778, -0.338743, 1.7236, 2.89041, -0.976161, 1.83855, 
101, 0.0666184, -0.33776, 1.724, 2.88837, -0.980484, 1.84373, 
102, 0.0663243, -0.339147, 1.72416, 2.88756, -0.981673, 1.84427, 
103, 0.0664201, -0.338995, 1.72422, 2.8898, -0.978712, 1.84299, 
104, 0.066356, -0.338962, 1.72414, 2.88785, -0.981285, 1.84405, 
105, 0.0662917, -0.339538, 1.72436, 2.88883, -0.979654, 1.84377, 
106, 0.0659974, -0.340925, 1.72452, 2.88802, -0.980844, 1.84432, 
107, 0.0664112, -0.338626, 1.72409, 2.88833, -0.980646, 1.84368, 
108, 0.0663468, -0.339202, 1.72431, 2.88931, -0.979014, 1.84341, 
109, 0.0660528, -0.34059, 1.72446, 2.8885, -0.980204, 1.84395, 
110, 0.0664663, -0.338292, 1.72404, 2.8888, -0.980006, 1.84332, 
111, 0.0664017, -0.338868, 1.72426, 2.88979, -0.978373, 1.84305, 
112, 0.0663377, -0.338834, 1.72418, 2.88784, -0.980946, 1.84411, 
113, 0.0664332, -0.338682, 1.72423, 2.89008, -0.977985, 1.84283, 
114, 0.0663693, -0.338649, 1.72415, 2.88813, -0.980558, 1.84389, 
115, 0.0664646, -0.338496, 1.72421, 2.89036, -0.977596, 1.84262, 
116, 0.0664009, -0.338463, 1.72413, 2.88841, -0.980169, 1.84368, 
117, 0.066496, -0.338311, 1.72418, 2.89065, -0.977207, 1.84241, 
118, 0.0664324, -0.338278, 1.7241, 2.8887, -0.97978, 1.84346, 
119, 0.0660429, -0.340414, 1.7245, 2.88868, -0.979595, 1.84388, 
120, 0.0664562, -0.338116, 1.72407, 2.88899, -0.979396, 1.84325, 
121, 0.0660668, -0.340252, 1.72448, 2.88897, -0.97921, 1.84366, 
122, 0.06648, -0.337954, 1.72405, 2.88928, -0.979011, 1.84303, 
123, 0.0660908, -0.34009, 1.72445, 2.88926, -0.978825, 1.84344, 
124, 0.0663454, -0.338515, 1.72419, 2.88831, -0.97995, 1.84381, 
125, 0.0664406, -0.338363, 1.72424, 2.89055, -0.976989, 1.84254, 
126, 0.0661475, -0.33975, 1.7244, 2.88974, -0.978179, 1.84308, 
127, 0.066402, -0.338176, 1.72414, 2.8888, -0.979304, 1.84345, 
128, 0.066175, -0.339573, 1.72438, 2.89004, -0.977775, 1.84286, 
129, 0.0664294, -0.337999, 1.72411, 2.88909, -0.978899, 1.84322, 
130, 0.0662025, -0.339396, 1.72435, 2.89033, -0.97737, 1.84264, 
131, 0.0664568, -0.337823, 1.72409, 2.88939, -0.978494, 1.843, 
132, 0.0660676, -0.339958, 1.72449, 2.88937, -0.978309, 1.84342, 
133, 0.0662563, -0.339062, 1.7243, 2.89081, -0.97672, 1.84227, 
134, 0.0653249, -0.337765, 1.72358, 2.88067, -0.988593, 1.84604, 
135, 0.0609037, -0.341242, 1.72293, 2.854, -1.01679, 1.85635, 
136, 0.0567593, -0.343097, 1.72226, 2.82686, -1.04321, 1.86766, 
137, 0.0527186, -0.344023, 1.7213, 2.79894, -1.06944, 1.87939, 
138, 0.0484965, -0.346296, 1.72061, 2.76951, -1.09581, 1.89322, 
139, 0.0439621, -0.348496, 1.71993, 2.73791, -1.12198, 1.90868, 
140, 0.0394991, -0.35126, 1.71915, 2.70184, -1.15103, 1.92843, 
141, 0.0348564, -0.353161, 1.71858, 2.66663, -1.17544, 1.94788, 
142, 0.0302695, -0.355614, 1.71789, 2.62572, -1.20261, 1.97283, 
143, 0.026006, -0.356461, 1.71676, 2.58415, -1.22812, 1.9983, 
144, 0.0211176, -0.359331, 1.71601, 2.52951, -1.25751, 2.03618, 
145, 0.0160148, -0.362169, 1.71545, 2.47809, -1.28117, 2.07206, 
146, 0.0110146, -0.364851, 1.71489, 2.41663, -1.30563, 2.11795, 
147, 0.00629808, -0.366532, 1.71389, 2.34356, -1.33074, 2.1749, 
148, 0.000916121, -0.369569, 1.71328, 2.25037, -1.35596, 2.25166, 
149, -0.00306058, -0.368986, 1.71184, 2.14656, -1.37847, 2.33921, 
150, -0.00883933, -0.372542, 1.7113, 2.0088, -1.40015, 2.46049, 
151, -0.0145699, -0.376087, 1.71097, 1.87298, -1.41556, 2.5816, 
152, -0.0193043, -0.377359, 1.70997, 1.67464, -1.43036, 2.76394, 
153, -0.0249875, -0.379852, 1.70907, 1.42914, -1.43994, 2.99246, 
154, -0.030745, -0.383125, 1.70858, 1.17344, -1.44142, -3.05074, 
155, -0.0354548, -0.383571, 1.70744, 0.948749, -1.43705, -2.84171, 
156, -0.0412003, -0.385959, 1.70662, 0.724825, -1.42556, -2.63406, 
157, -0.0469623, -0.388307, 1.70597, 0.552752, -1.41053, -2.47746, 
158, -0.0523701, -0.389919, 1.7051, 0.409925, -1.39235, -2.35003, 
159, -0.0583836, -0.392603, 1.70431, 0.269302, -1.36539, -2.22622, 
160, -0.0642208, -0.394593, 1.70368, 0.173472, -1.34114, -2.14611, 
161, -0.0692971, -0.395085, 1.70243, 0.0866952, -1.31324, -2.07577, 
162, -0.0750703, -0.396848, 1.70161, 0.0209386, -1.28814, -2.0253, 
163, -0.0808008, -0.398499, 1.70076, -0.0379623, -1.26091, -1.98188, 
164, -0.0866223, -0.399841, 1.69991, -0.0883814, -1.2346, -1.947, 
165, -0.0952332, -0.404164, 1.7052, 0.00758665, -1.30236, -2.03911, 
166, -0.0949316, -0.398284, 1.69653, -0.176462, -1.179, -1.88872, 
167, -0.104909, -0.405322, 1.69782, -0.21199, -1.15036, -1.86919, 
